<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAA.US,D,20200911,000000,24.92,24.93,24.9,24.915,33524,0
AAA.US,D,20200914,000000,24.89,24.94,24.89,24.9,13212,0
AAA.US,D,20200915,000000,24.9,24.91,24.89,24.89,12129,0
AAA.US,D,20200916,000000,24.85,24.864,24.85,24.85,14193,0
AAA.US,D,20200917,000000,24.87,24.88,24.86,24.86,15232,0
AAA.US,D,20200918,000000,24.853,24.86,24.85,24.855,5363,0
AAA.US,D,20200921,000000,24.87,24.87,24.86,24.86,8597,0
AAA.US,D,20200922,000000,24.86,24.87,24.855,24.855,8104,0
AAA.US,D,20200923,000000,24.865,24.877,24.865,24.87,4468,0
AAA.US,D,20200924,000000,24.87,24.871,24.86,24.86,7015,0
AAA.US,D,20200925,000000,24.865,24.88,24.85,24.86,115962,0
AAA.US,D,20200928,000000,24.84,24.85,24.835,24.835,6233,0
AAA.US,D,20200929,000000,24.82,24.83,24.81,24.825,8054,0
AAA.US,D,20200930,000000,24.84,24.85,24.84,24.84,5451,0
AAA.US,D,20201001,000000,24.81,24.81,24.798,24.8,24976,0
AAA.US,D,20201002,000000,24.793,24.805,24.793,24.795,3005,0
AAA.US,D,20201005,000000,24.79,24.82,24.79,24.795,29043,0
AAA.US,D,20201006,000000,24.77,24.79,24.77,24.79,3955,0
AAA.US,D,20201007,000000,24.782,24.79,24.78,24.78,3792,0
AAA.US,D,20201008,000000,24.78,24.785,24.78,24.78,1683,0
AAA.US,D,20201009,000000,24.76,24.79,24.76,24.775,16117,0
AAA.US,D,20201012,000000,24.775,24.775,24.775,24.775,643,0
AAA.US,D,20201013,000000,24.8,24.8,24.79,24.79,363,0
AAA.US,D,20201014,000000,24.8,24.8,24.79,24.79,288,0
AAA.US,D,20201015,000000,24.79,24.8,24.78,24.79,2171,0
AAA.US,D,20201016,000000,24.786,24.79,24.78,24.79,600,0
AAA.US,D,20201019,000000,24.78,24.79,24.78,24.785,6337,0
AAA.US,D,20201020,000000,24.79,24.8,24.78,24.79,16890,0
AAA.US,D,20201021,000000,24.83,24.835,24.83,24.83,2728,0
AAA.US,D,20201022,000000,24.82,24.82,24.815,24.815,1925,0
AAA.US,D,20201023,000000,24.835,24.835,24.835,24.835,492,0
AAA.US,D,20201026,000000,24.84,24.84,24.82,24.83,698,0
AAA.US,D,20201027,000000,24.84,24.84,24.835,24.835,127,0
AAA.US,D,20201028,000000,24.83,24.842,24.83,24.835,1306,0
AAA.US,D,20201029,000000,24.82,24.84,24.82,24.825,1756,0
